county_id,state,county
1001,ALABAMA,AUTAUGA
1003,ALABAMA,BALDWIN
1005,ALABAMA,BARBOUR
1007,ALABAMA,BIBB
1009,ALABAMA,BLOUNT
1011,ALABAMA,BULLOCK
1013,ALABAMA,BUTLER
1015,ALABAMA,CALHOUN
1017,ALABAMA,CHAMBERS
1019,ALABAMA,CHEROKEE
1021,ALABAMA,CHILTON
1023,ALABAMA,CHOCTAW
1025,ALABAMA,CLARKE
1027,ALABAMA,CLAY
1029,ALABAMA,CLEBURNE
1031,ALABAMA,COFFEE
1033,ALABAMA,COLBERT
1035,ALABAMA,CONECUH
1037,ALABAMA,COOSA
1039,ALABAMA,COVINGTON
1041,ALABAMA,CRENSHAW
1043,ALABAMA,CULLMAN
1045,ALABAMA,DALE
1047,ALABAMA,DALLAS
1049,ALABAMA,DEKALB
1051,ALABAMA,ELMORE
1053,ALABAMA,ESCAMBIA
1055,ALABAMA,ETOWAH
1057,ALABAMA,FAYETTE
1059,ALABAMA,FRANKLIN
1061,ALABAMA,GENEVA
1063,ALABAMA,GREENE
1065,ALABAMA,HALE
1067,ALABAMA,HENRY
1069,ALABAMA,HOUSTON
1071,ALABAMA,JACKSON
1073,ALABAMA,JEFFERSON
1075,ALABAMA,LAMAR
1077,ALABAMA,LAUDERDALE
1079,ALABAMA,LAWRENCE
1081,ALABAMA,LEE
1083,ALABAMA,LIMESTONE
1085,ALABAMA,LOWNDES
1087,ALABAMA,MACON
1089,ALABAMA,MADISON
1091,ALABAMA,MARENGO
1093,ALABAMA,MARION
1095,ALABAMA,MARSHALL
1097,ALABAMA,MOBILE
1099,ALABAMA,MONROE
1101,ALABAMA,MONTGOMERY
1103,ALABAMA,MORGAN
1105,ALABAMA,PERRY
1107,ALABAMA,PICKENS
1109,ALABAMA,PIKE
1111,ALABAMA,RANDOLPH
1113,ALABAMA,RUSSELL
1115,ALABAMA,ST CLAIR
1117,ALABAMA,SHELBY
1119,ALABAMA,SUMTER
1121,ALABAMA,TALLADEGA
1123,ALABAMA,TALLAPOOSA
1125,ALABAMA,TUSCALOOSA
1127,ALABAMA,WALKER
1129,ALABAMA,WASHINGTON
1131,ALABAMA,WILCOX
1133,ALABAMA,WINSTON
2013,ALASKA,ALEUTIANS EAST
2016,ALASKA,ALEUTIANS WEST
2020,ALASKA,ANCHORAGE
2050,ALASKA,BETHEL
2060,ALASKA,BRISTOL BAY
2068,ALASKA,DENALI
2070,ALASKA,DILLINGHAM
2090,ALASKA,FAIRBANKS NORTH STAR
2100,ALASKA,HAINES
2105,ALASKA,HOONAH ANGOON
2110,ALASKA,JUNEAU
2122,ALASKA,KENAI PENINSULA
2130,ALASKA,KETCHIKAN GATEWAY
2150,ALASKA,KODIAK ISLAND
2158,ALASKA,KUSILVAK
2164,ALASKA,LAKE AND PENINSULA
2170,ALASKA,MATANUSKA SUSITNA
2180,ALASKA,NOME
2185,ALASKA,NORTH SLOPE
2188,ALASKA,NORTHWEST ARCTIC
2195,ALASKA,PETERSBURG
2198,ALASKA,PRINCE OF WALES HYDER
2220,ALASKA,SITKA
2230,ALASKA,SKAGWAY
2240,ALASKA,SOUTHEAST FAIRBANKS
2261,ALASKA,VALDEZ CORDOVA
2275,ALASKA,WRANGELL
2282,ALASKA,YAKUTAT
2290,ALASKA,YUKON KOYUKUK
4001,ARIZONA,APACHE
4003,ARIZONA,COCHISE
4005,ARIZONA,COCONINO
4007,ARIZONA,GILA
4009,ARIZONA,GRAHAM
4011,ARIZONA,GREENLEE
4012,ARIZONA,LA PAZ
4013,ARIZONA,MARICOPA
4015,ARIZONA,MOHAVE
4017,ARIZONA,NAVAJO
4019,ARIZONA,PIMA
4021,ARIZONA,PINAL
4023,ARIZONA,SANTA CRUZ
4025,ARIZONA,YAVAPAI
4027,ARIZONA,YUMA
5001,ARKANSAS,ARKANSAS
5003,ARKANSAS,ASHLEY
5005,ARKANSAS,BAXTER
5007,ARKANSAS,BENTON
5009,ARKANSAS,BOONE
5011,ARKANSAS,BRADLEY
5013,ARKANSAS,CALHOUN
5015,ARKANSAS,CARROLL
5017,ARKANSAS,CHICOT
5019,ARKANSAS,CLARK
5021,ARKANSAS,CLAY
5023,ARKANSAS,CLEBURNE
5025,ARKANSAS,CLEVELAND
5027,ARKANSAS,COLUMBIA
5029,ARKANSAS,CONWAY
5031,ARKANSAS,CRAIGHEAD
5033,ARKANSAS,CRAWFORD
5035,ARKANSAS,CRITTENDEN
5037,ARKANSAS,CROSS
5039,ARKANSAS,DALLAS
5041,ARKANSAS,DESHA
5043,ARKANSAS,DREW
5045,ARKANSAS,FAULKNER
5047,ARKANSAS,FRANKLIN
5049,ARKANSAS,FULTON
5051,ARKANSAS,GARLAND
5053,ARKANSAS,GRANT
5055,ARKANSAS,GREENE
5057,ARKANSAS,HEMPSTEAD
5059,ARKANSAS,HOT SPRING
5061,ARKANSAS,HOWARD
5063,ARKANSAS,INDEPENDENCE
5065,ARKANSAS,IZARD
5067,ARKANSAS,JACKSON
5069,ARKANSAS,JEFFERSON
5071,ARKANSAS,JOHNSON
5073,ARKANSAS,LAFAYETTE
5075,ARKANSAS,LAWRENCE
5077,ARKANSAS,LEE
5079,ARKANSAS,LINCOLN
5081,ARKANSAS,LITTLE RIVER
5083,ARKANSAS,LOGAN
5085,ARKANSAS,LONOKE
5087,ARKANSAS,MADISON
5089,ARKANSAS,MARION
5091,ARKANSAS,MILLER
5093,ARKANSAS,MISSISSIPPI
5095,ARKANSAS,MONROE
5097,ARKANSAS,MONTGOMERY
5099,ARKANSAS,NEVADA
5101,ARKANSAS,NEWTON
5103,ARKANSAS,OUACHITA
5105,ARKANSAS,PERRY
5107,ARKANSAS,PHILLIPS
5109,ARKANSAS,PIKE
5111,ARKANSAS,POINSETT
5113,ARKANSAS,POLK
5115,ARKANSAS,POPE
5117,ARKANSAS,PRAIRIE
5119,ARKANSAS,PULASKI
5121,ARKANSAS,RANDOLPH
5123,ARKANSAS,ST FRANCIS
5125,ARKANSAS,SALINE
5127,ARKANSAS,SCOTT
5129,ARKANSAS,SEARCY
5131,ARKANSAS,SEBASTIAN
5133,ARKANSAS,SEVIER
5135,ARKANSAS,SHARP
5137,ARKANSAS,STONE
5139,ARKANSAS,UNION
5141,ARKANSAS,VAN BUREN
5143,ARKANSAS,WASHINGTON
5145,ARKANSAS,WHITE
5147,ARKANSAS,WOODRUFF
5149,ARKANSAS,YELL
6001,CALIFORNIA,ALAMEDA
6003,CALIFORNIA,ALPINE
6005,CALIFORNIA,AMADOR
6007,CALIFORNIA,BUTTE
6009,CALIFORNIA,CALAVERAS
6011,CALIFORNIA,COLUSA
6013,CALIFORNIA,CONTRA COSTA
6015,CALIFORNIA,DEL NORTE
6017,CALIFORNIA,EL DORADO
6019,CALIFORNIA,FRESNO
6021,CALIFORNIA,GLENN
6023,CALIFORNIA,HUMBOLDT
6025,CALIFORNIA,IMPERIAL
6027,CALIFORNIA,INYO
6029,CALIFORNIA,KERN
6031,CALIFORNIA,KINGS
6033,CALIFORNIA,LAKE
6035,CALIFORNIA,LASSEN
6037,CALIFORNIA,LOS ANGELES
6039,CALIFORNIA,MADERA
6041,CALIFORNIA,MARIN
6043,CALIFORNIA,MARIPOSA
6045,CALIFORNIA,MENDOCINO
6047,CALIFORNIA,MERCED
6049,CALIFORNIA,MODOC
6051,CALIFORNIA,MONO
6053,CALIFORNIA,MONTEREY
6055,CALIFORNIA,NAPA
6057,CALIFORNIA,NEVADA
6059,CALIFORNIA,ORANGE
6061,CALIFORNIA,PLACER
6063,CALIFORNIA,PLUMAS
6065,CALIFORNIA,RIVERSIDE
6067,CALIFORNIA,SACRAMENTO
6069,CALIFORNIA,SAN BENITO
6071,CALIFORNIA,SAN BERNARDINO
6073,CALIFORNIA,SAN DIEGO
6075,CALIFORNIA,SAN FRANCISCO
6077,CALIFORNIA,SAN JOAQUIN
6079,CALIFORNIA,SAN LUIS OBISPO
6081,CALIFORNIA,SAN MATEO
6083,CALIFORNIA,SANTA BARBARA
6085,CALIFORNIA,SANTA CLARA
6087,CALIFORNIA,SANTA CRUZ
6089,CALIFORNIA,SHASTA
6091,CALIFORNIA,SIERRA
6093,CALIFORNIA,SISKIYOU
6095,CALIFORNIA,SOLANO
6097,CALIFORNIA,SONOMA
6099,CALIFORNIA,STANISLAUS
6101,CALIFORNIA,SUTTER
6103,CALIFORNIA,TEHAMA
6105,CALIFORNIA,TRINITY
6107,CALIFORNIA,TULARE
6109,CALIFORNIA,TUOLUMNE
6111,CALIFORNIA,VENTURA
6113,CALIFORNIA,YOLO
6115,CALIFORNIA,YUBA
8001,COLORADO,ADAMS
8003,COLORADO,ALAMOSA
8005,COLORADO,ARAPAHOE
8007,COLORADO,ARCHULETA
8009,COLORADO,BACA
8011,COLORADO,BENT
8013,COLORADO,BOULDER
8014,COLORADO,BROOMFIELD
8015,COLORADO,CHAFFEE
8017,COLORADO,CHEYENNE
8019,COLORADO,CLEAR CREEK
8021,COLORADO,CONEJOS
8023,COLORADO,COSTILLA
8025,COLORADO,CROWLEY
8027,COLORADO,CUSTER
8029,COLORADO,DELTA
8031,COLORADO,DENVER
8033,COLORADO,DOLORES
8035,COLORADO,DOUGLAS
8037,COLORADO,EAGLE
8039,COLORADO,ELBERT
8041,COLORADO,EL PASO
8043,COLORADO,FREMONT
8045,COLORADO,GARFIELD
8047,COLORADO,GILPIN
8049,COLORADO,GRAND
8051,COLORADO,GUNNISON
8053,COLORADO,HINSDALE
8055,COLORADO,HUERFANO
8057,COLORADO,JACKSON
8059,COLORADO,JEFFERSON
8061,COLORADO,KIOWA
8063,COLORADO,KIT CARSON
8065,COLORADO,LAKE
8067,COLORADO,LA PLATA
8069,COLORADO,LARIMER
8071,COLORADO,LAS ANIMAS
8073,COLORADO,LINCOLN
8075,COLORADO,LOGAN
8077,COLORADO,MESA
8079,COLORADO,MINERAL
8081,COLORADO,MOFFAT
8083,COLORADO,MONTEZUMA
8085,COLORADO,MONTROSE
8087,COLORADO,MORGAN
8089,COLORADO,OTERO
8091,COLORADO,OURAY
8093,COLORADO,PARK
8095,COLORADO,PHILLIPS
8097,COLORADO,PITKIN
8099,COLORADO,PROWERS
8101,COLORADO,PUEBLO
8103,COLORADO,RIO BLANCO
8105,COLORADO,RIO GRANDE
8107,COLORADO,ROUTT
8109,COLORADO,SAGUACHE
8111,COLORADO,SAN JUAN
8113,COLORADO,SAN MIGUEL
8115,COLORADO,SEDGWICK
8117,COLORADO,SUMMIT
8119,COLORADO,TELLER
8121,COLORADO,WASHINGTON
8123,COLORADO,WELD
8125,COLORADO,YUMA
9001,CONNECTICUT,FAIRFIELD
9003,CONNECTICUT,HARTFORD
9005,CONNECTICUT,LITCHFIELD
9007,CONNECTICUT,MIDDLESEX
9009,CONNECTICUT,NEW HAVEN
9011,CONNECTICUT,NEW LONDON
9013,CONNECTICUT,TOLLAND
9015,CONNECTICUT,WINDHAM
10001,DELAWARE,KENT
10003,DELAWARE,NEW CASTLE
10005,DELAWARE,SUSSEX
11001,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA
12001,FLORIDA,ALACHUA
12003,FLORIDA,BAKER
12005,FLORIDA,BAY
12007,FLORIDA,BRADFORD
12009,FLORIDA,BREVARD
12011,FLORIDA,BROWARD
12013,FLORIDA,CALHOUN
12015,FLORIDA,CHARLOTTE
12017,FLORIDA,CITRUS
12019,FLORIDA,CLAY
12021,FLORIDA,COLLIER
12023,FLORIDA,COLUMBIA
12027,FLORIDA,DESOTO
12029,FLORIDA,DIXIE
12031,FLORIDA,DUVAL
12033,FLORIDA,ESCAMBIA
12035,FLORIDA,FLAGLER
12037,FLORIDA,FRANKLIN
12039,FLORIDA,GADSDEN
12041,FLORIDA,GILCHRIST
12043,FLORIDA,GLADES
12045,FLORIDA,GULF
12047,FLORIDA,HAMILTON
12049,FLORIDA,HARDEE
12051,FLORIDA,HENDRY
12053,FLORIDA,HERNANDO
12055,FLORIDA,HIGHLANDS
12057,FLORIDA,HILLSBOROUGH
12059,FLORIDA,HOLMES
12061,FLORIDA,INDIAN RIVER
12063,FLORIDA,JACKSON
12065,FLORIDA,JEFFERSON
12067,FLORIDA,LAFAYETTE
12069,FLORIDA,LAKE
12071,FLORIDA,LEE
12073,FLORIDA,LEON
12075,FLORIDA,LEVY
12077,FLORIDA,LIBERTY
12079,FLORIDA,MADISON
12081,FLORIDA,MANATEE
12083,FLORIDA,MARION
12085,FLORIDA,MARTIN
12086,FLORIDA,MIAMI DADE
12087,FLORIDA,MONROE
12089,FLORIDA,NASSAU
12091,FLORIDA,OKALOOSA
12093,FLORIDA,OKEECHOBEE
12095,FLORIDA,ORANGE
12097,FLORIDA,OSCEOLA
12099,FLORIDA,PALM BEACH
12101,FLORIDA,PASCO
12103,FLORIDA,PINELLAS
12105,FLORIDA,POLK
12107,FLORIDA,PUTNAM
12109,FLORIDA,ST JOHNS
12111,FLORIDA,ST LUCIE
12113,FLORIDA,SANTA ROSA
12115,FLORIDA,SARASOTA
12117,FLORIDA,SEMINOLE
12119,FLORIDA,SUMTER
12121,FLORIDA,SUWANNEE
12123,FLORIDA,TAYLOR
12125,FLORIDA,UNION
12127,FLORIDA,VOLUSIA
12129,FLORIDA,WAKULLA
12131,FLORIDA,WALTON
12133,FLORIDA,WASHINGTON
13001,GEORGIA,APPLING
13003,GEORGIA,ATKINSON
13005,GEORGIA,BACON
13007,GEORGIA,BAKER
13009,GEORGIA,BALDWIN
13011,GEORGIA,BANKS
13013,GEORGIA,BARROW
13015,GEORGIA,BARTOW
13017,GEORGIA,BEN HILL
13019,GEORGIA,BERRIEN
13021,GEORGIA,BIBB
13023,GEORGIA,BLECKLEY
13025,GEORGIA,BRANTLEY
13027,GEORGIA,BROOKS
13029,GEORGIA,BRYAN
13031,GEORGIA,BULLOCH
13033,GEORGIA,BURKE
13035,GEORGIA,BUTTS
13037,GEORGIA,CALHOUN
13039,GEORGIA,CAMDEN
13043,GEORGIA,CANDLER
13045,GEORGIA,CARROLL
13047,GEORGIA,CATOOSA
13049,GEORGIA,CHARLTON
13051,GEORGIA,CHATHAM
13053,GEORGIA,CHATTAHOOCHEE
13055,GEORGIA,CHATTOOGA
13057,GEORGIA,CHEROKEE
13059,GEORGIA,CLARKE
13061,GEORGIA,CLAY
13063,GEORGIA,CLAYTON
13065,GEORGIA,CLINCH
13067,GEORGIA,COBB
13069,GEORGIA,COFFEE
13071,GEORGIA,COLQUITT
13073,GEORGIA,COLUMBIA
13075,GEORGIA,COOK
13077,GEORGIA,COWETA
13079,GEORGIA,CRAWFORD
13081,GEORGIA,CRISP
13083,GEORGIA,DADE
13085,GEORGIA,DAWSON
13087,GEORGIA,DECATUR
13089,GEORGIA,DEKALB
13091,GEORGIA,DODGE
13093,GEORGIA,DOOLY
13095,GEORGIA,DOUGHERTY
13097,GEORGIA,DOUGLAS
13099,GEORGIA,EARLY
13101,GEORGIA,ECHOLS
13103,GEORGIA,EFFINGHAM
13105,GEORGIA,ELBERT
13107,GEORGIA,EMANUEL
13109,GEORGIA,EVANS
13111,GEORGIA,FANNIN
13113,GEORGIA,FAYETTE
13115,GEORGIA,FLOYD
13117,GEORGIA,FORSYTH
13119,GEORGIA,FRANKLIN
13121,GEORGIA,FULTON
13123,GEORGIA,GILMER
13125,GEORGIA,GLASCOCK
13127,GEORGIA,GLYNN
13129,GEORGIA,GORDON
13131,GEORGIA,GRADY
13133,GEORGIA,GREENE
13135,GEORGIA,GWINNETT
13137,GEORGIA,HABERSHAM
13139,GEORGIA,HALL
13141,GEORGIA,HANCOCK
13143,GEORGIA,HARALSON
13145,GEORGIA,HARRIS
13147,GEORGIA,HART
13149,GEORGIA,HEARD
13151,GEORGIA,HENRY
13153,GEORGIA,HOUSTON
13155,GEORGIA,IRWIN
13157,GEORGIA,JACKSON
13159,GEORGIA,JASPER
13161,GEORGIA,JEFF DAVIS
13163,GEORGIA,JEFFERSON
13165,GEORGIA,JENKINS
13167,GEORGIA,JOHNSON
13169,GEORGIA,JONES
13171,GEORGIA,LAMAR
13173,GEORGIA,LANIER
13175,GEORGIA,LAURENS
13177,GEORGIA,LEE
13179,GEORGIA,LIBERTY
13181,GEORGIA,LINCOLN
13183,GEORGIA,LONG
13185,GEORGIA,LOWNDES
13187,GEORGIA,LUMPKIN
13189,GEORGIA,MCDUFFIE
13191,GEORGIA,MCINTOSH
13193,GEORGIA,MACON
13195,GEORGIA,MADISON
13197,GEORGIA,MARION
13199,GEORGIA,MERIWETHER
13201,GEORGIA,MILLER
13205,GEORGIA,MITCHELL
13207,GEORGIA,MONROE
13209,GEORGIA,MONTGOMERY
13211,GEORGIA,MORGAN
13213,GEORGIA,MURRAY
13215,GEORGIA,MUSCOGEE
13217,GEORGIA,NEWTON
13219,GEORGIA,OCONEE
13221,GEORGIA,OGLETHORPE
13223,GEORGIA,PAULDING
13225,GEORGIA,PEACH
13227,GEORGIA,PICKENS
13229,GEORGIA,PIERCE
13231,GEORGIA,PIKE
13233,GEORGIA,POLK
13235,GEORGIA,PULASKI
13237,GEORGIA,PUTNAM
13239,GEORGIA,QUITMAN
13241,GEORGIA,RABUN
13243,GEORGIA,RANDOLPH
13245,GEORGIA,RICHMOND
13247,GEORGIA,ROCKDALE
13249,GEORGIA,SCHLEY
13251,GEORGIA,SCREVEN
13253,GEORGIA,SEMINOLE
13255,GEORGIA,SPALDING
13257,GEORGIA,STEPHENS
13259,GEORGIA,STEWART
13261,GEORGIA,SUMTER
13263,GEORGIA,TALBOT
13265,GEORGIA,TALIAFERRO
13267,GEORGIA,TATTNALL
13269,GEORGIA,TAYLOR
13271,GEORGIA,TELFAIR
13273,GEORGIA,TERRELL
13275,GEORGIA,THOMAS
13277,GEORGIA,TIFT
13279,GEORGIA,TOOMBS
13281,GEORGIA,TOWNS
13283,GEORGIA,TREUTLEN
13285,GEORGIA,TROUP
13287,GEORGIA,TURNER
13289,GEORGIA,TWIGGS
13291,GEORGIA,UNION
13293,GEORGIA,UPSON
13295,GEORGIA,WALKER
13297,GEORGIA,WALTON
13299,GEORGIA,WARE
13301,GEORGIA,WARREN
13303,GEORGIA,WASHINGTON
13305,GEORGIA,WAYNE
13307,GEORGIA,WEBSTER
13309,GEORGIA,WHEELER
13311,GEORGIA,WHITE
13313,GEORGIA,WHITFIELD
13315,GEORGIA,WILCOX
13317,GEORGIA,WILKES
13319,GEORGIA,WILKINSON
13321,GEORGIA,WORTH
15001,HAWAII,HAWAII
15003,HAWAII,HONOLULU
15005,HAWAII,KALAWAO
15007,HAWAII,KAUAI
15009,HAWAII,MAUI
16001,IDAHO,ADA
16003,IDAHO,ADAMS
16005,IDAHO,BANNOCK
16007,IDAHO,BEAR LAKE
16009,IDAHO,BENEWAH
16011,IDAHO,BINGHAM
16013,IDAHO,BLAINE
16015,IDAHO,BOISE
16017,IDAHO,BONNER
16019,IDAHO,BONNEVILLE
16021,IDAHO,BOUNDARY
16023,IDAHO,BUTTE
16025,IDAHO,CAMAS
16027,IDAHO,CANYON
16029,IDAHO,CARIBOU
16031,IDAHO,CASSIA
16033,IDAHO,CLARK
16035,IDAHO,CLEARWATER
16037,IDAHO,CUSTER
16039,IDAHO,ELMORE
16041,IDAHO,FRANKLIN
16043,IDAHO,FREMONT
16045,IDAHO,GEM
16047,IDAHO,GOODING
16049,IDAHO,IDAHO
16051,IDAHO,JEFFERSON
16053,IDAHO,JEROME
16055,IDAHO,KOOTENAI
16057,IDAHO,LATAH
16059,IDAHO,LEMHI
16061,IDAHO,LEWIS
16063,IDAHO,LINCOLN
16065,IDAHO,MADISON
16067,IDAHO,MINIDOKA
16069,IDAHO,NEZ PERCE
16071,IDAHO,ONEIDA
16073,IDAHO,OWYHEE
16075,IDAHO,PAYETTE
16077,IDAHO,POWER
16079,IDAHO,SHOSHONE
16081,IDAHO,TETON
16083,IDAHO,TWIN FALLS
16085,IDAHO,VALLEY
16087,IDAHO,WASHINGTON
17001,ILLINOIS,ADAMS
17003,ILLINOIS,ALEXANDER
17005,ILLINOIS,BOND
17007,ILLINOIS,BOONE
17009,ILLINOIS,BROWN
17011,ILLINOIS,BUREAU
17013,ILLINOIS,CALHOUN
17015,ILLINOIS,CARROLL
17017,ILLINOIS,CASS
17019,ILLINOIS,CHAMPAIGN
17021,ILLINOIS,CHRISTIAN
17023,ILLINOIS,CLARK
17025,ILLINOIS,CLAY
17027,ILLINOIS,CLINTON
17029,ILLINOIS,COLES
17031,ILLINOIS,COOK
17033,ILLINOIS,CRAWFORD
17035,ILLINOIS,CUMBERLAND
17037,ILLINOIS,DEKALB
17039,ILLINOIS,DE WITT
17041,ILLINOIS,DOUGLAS
17043,ILLINOIS,DUPAGE
17045,ILLINOIS,EDGAR
17047,ILLINOIS,EDWARDS
17049,ILLINOIS,EFFINGHAM
17051,ILLINOIS,FAYETTE
17053,ILLINOIS,FORD
17055,ILLINOIS,FRANKLIN
17057,ILLINOIS,FULTON
17059,ILLINOIS,GALLATIN
17061,ILLINOIS,GREENE
17063,ILLINOIS,GRUNDY
17065,ILLINOIS,HAMILTON
17067,ILLINOIS,HANCOCK
17069,ILLINOIS,HARDIN
17071,ILLINOIS,HENDERSON
17073,ILLINOIS,HENRY
17075,ILLINOIS,IROQUOIS
17077,ILLINOIS,JACKSON
17079,ILLINOIS,JASPER
17081,ILLINOIS,JEFFERSON
17083,ILLINOIS,JERSEY
17085,ILLINOIS,JO DAVIESS
17087,ILLINOIS,JOHNSON
17089,ILLINOIS,KANE
17091,ILLINOIS,KANKAKEE
17093,ILLINOIS,KENDALL
17095,ILLINOIS,KNOX
17097,ILLINOIS,LAKE
17099,ILLINOIS,LASALLE
17101,ILLINOIS,LAWRENCE
17103,ILLINOIS,LEE
17105,ILLINOIS,LIVINGSTON
17107,ILLINOIS,LOGAN
17109,ILLINOIS,MCDONOUGH
17111,ILLINOIS,MCHENRY
17113,ILLINOIS,MCLEAN
17115,ILLINOIS,MACON
17117,ILLINOIS,MACOUPIN
17119,ILLINOIS,MADISON
17121,ILLINOIS,MARION
17123,ILLINOIS,MARSHALL
17125,ILLINOIS,MASON
17127,ILLINOIS,MASSAC
17129,ILLINOIS,MENARD
17131,ILLINOIS,MERCER
17133,ILLINOIS,MONROE
17135,ILLINOIS,MONTGOMERY
17137,ILLINOIS,MORGAN
17139,ILLINOIS,MOULTRIE
17141,ILLINOIS,OGLE
17143,ILLINOIS,PEORIA
17145,ILLINOIS,PERRY
17147,ILLINOIS,PIATT
17149,ILLINOIS,PIKE
17151,ILLINOIS,POPE
17153,ILLINOIS,PULASKI
17155,ILLINOIS,PUTNAM
17157,ILLINOIS,RANDOLPH
17159,ILLINOIS,RICHLAND
